# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 235, mean track length: 2
53 -1.1466889187015903 0.17315885471170372 7.1414643201808659 203 142 97 0.26864656327353265 6 780 40 769
54 -1.2285032264032543 -0.014523270680429466 7.0823627718118258 86 107 127 0.031178837218863723 6 525 40 816
55 -1.2223787824388226 -0.012684894331985582 7.0846266910176565 139 165 200 0.26450330470826677 6 667 40 819
56 -1.2242276707501625 -0.010539082959616013 7.0818817696435135 132 151 177 0.60428060727960031 6 670 40 821
57 -1.2738904918569935 0.00050937635709396092 7.072323695656614 111 129 153 0.56206497160415425 6 530 40 823
58 -1.258805490157817 0.0013215941539609956 7.0759846968695301 64 94 120 0.054891943179135191 6 678 40 828
59 -1.2614853723690902 0.0031483859337993816 7.0759685706113995 109 142 172 0.21404340480681175 6 683 40 829
60 -1.2477786211397766 0.002278752879664496 7.0798888070870571 92 114 138 0.38587922896674087 6 687 40 831
61 -1.2746448737637326 0.017381466439324922 7.0722867042315256 145 175 209 1.0699257103741899 6 823 40 838
62 -1.2800366618459345 0.028394778447103163 7.0719733112126413 64 83 98 0.4862911014722443 6 692 40 841
63 -1.1792588741115586 0.061751545788090778 7.1222816351236053 181 121 88 0.23913770742691282 6 717 40 855
64 -1.1669541966002142 0.061946208583575621 7.1301160307868532 182 127 83 0.25851127219770054 6 720 40 856
65 -1.1486710691049964 0.062620271453086226 7.1411491510514589 188 136 97 0.1301574215456904 6 721 40 858
66 -1.1394204477103385 0.06295830053918651 7.1495892422766039 219 155 117 0.26660626989775249 6 724 40 860
67 -1.1394204477103385 0.06295830053918651 7.1495892422766039 219 155 117 0.26660626989775249 6 725 40 861
68 -1.1474476224800472 0.065371454828374087 7.1419771344460381 139 69 20 0.19371393165118625 6 857 40 863
69 -1.1727632341951442 0.067694032575736404 7.1265570913783431 109 62 36 0.29384087986966606 6 578 40 866
70 -1.1754641197003546 0.069301264023038586 7.1267136056918279 178 132 106 0.4184005938169747 6 730 40 869
71 -1.1708932394329401 0.06927623428863168 7.1286470977567138 174 127 101 0.2012164195743911 6 732 40 870
72 -1.1708932394329401 0.06927623428863168 7.1286470977567138 174 127 101 0.2012164195743911 6 733 40 871
73 -1.1786429953677178 0.075620380763459005 7.1239711528522998 193 119 83 0.072568917025167948 6 740 40 876
74 -1.1786429953677178 0.075620380763459005 7.1239711528522998 193 119 83 0.072568917025167948 6 741 40 877
75 -1.1667645603118759 0.075666410407289525 7.1300094710324959 188 133 97 0.17540002165965518 6 746 40 878
76 -1.1435275363945581 0.075585523154279591 7.1460919642666472 216 150 102 0.46004130498102902 6 874 40 879
77 -1.1435275363945581 0.075585523154279591 7.1460919642666472 216 150 102 0.46004130498102902 6 875 40 880
78 -1.1628815010325961 0.075710661912721633 7.1324166925851902 187 132 95 0.12494208648038894 6 748 40 881
79 -1.1628815010325961 0.075710661912721633 7.1324166925851902 187 132 95 0.12494208648038894 6 749 40 882
80 -1.1593263693033795 0.075645810571791733 7.1347641350389424 183 129 94 0.020760070446893916 6 750 40 883
81 -1.1519573217891677 0.07578697438136156 7.1400227060413419 219 156 103 0.23701272646287119 6 751 40 886
82 -1.1481133716005179 0.075527407679361752 7.1442079522098467 212 146 96 0.80457755221072413 6 870 40 887
83 -1.1481133716005179 0.075527407679361752 7.1442079522098467 212 146 96 0.80457755221072413 6 871 40 888
84 -1.152437315740491 0.088081865231102743 7.1403043159503774 202 141 94 0.53568804105996626 6 761 40 893
